std_smiles,CHEMBL1075317.csv,CHEMBL1163125.csv,CHEMBL1795116.csv,CHEMBL1829.csv,CHEMBL1865.csv,CHEMBL1937.csv,CHEMBL1993.csv,CHEMBL2157850.csv,CHEMBL2169716.csv,CHEMBL2185.csv,CHEMBL2189110.csv,CHEMBL2424504.csv,CHEMBL2563.csv,CHEMBL2971.csv,CHEMBL301.csv,CHEMBL3045.csv,CHEMBL3055.csv,CHEMBL308.csv,CHEMBL3105.csv,CHEMBL3142.csv,CHEMBL3192.csv,CHEMBL325.csv,CHEMBL3524.csv,CHEMBL3774295.csv,CHEMBL4036.csv,CHEMBL4145.csv,CHEMBL4630.csv,CHEMBL4722.csv,CHEMBL5024.csv,CHEMBL5406.csv,CHEMBL5747.csv,CHEMBL5776.csv,CHEMBL5921.csv,CHEMBL6032.csv,CHEMBL6136.csv,CHEMBL6175.csv
Cc1c[nH]c2c(-c3ccc(Cl)cc3)n(-c3cc(C)c4nnc(C)n4c3)c(O)c12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
COc1cc2c(c(-c3cn(C)c(=O)c4[nH]ncc34)c1)OC(C1CCCC1)C(=O)N2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC(c1ccc2ncnn2c1)c1cc(-c2ncnc3cc(N4CCOCC4)ccc23)c(F)cc1F,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
COCCNS(=O)(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)c3cc[nH]c(=O)c23)cc1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
C[C@H]1CN(c2ccc(Nc3ncnc(-c4ccc(O[C@H]5CCN(C(=O)CO)CC5(F)F)c(C#N)c4)n3)cc2)CCN1C1COC1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1[nH]nc(Cl)c1-c1ccnc(Nc2ccc(CN3CCN[C@H](C)C3)cn2)n1,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,
CNC[C@@H](O)COc1ccc(Cl)c(-c2nc(-c3c(C)noc3C)c(F)c(N3CC4(CCOCC4)C3)n2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
O=C(COc1ccccc1N1CCOCC1)NC[C@@H](O)CN1CCc2ccccc2C1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(-c2nc(NS(C)(=O)=O)ncc2Oc2ccc(F)cc2F)cn(CC2CC2)c1=O,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nnc2n1-c1ccccc1C(c1cccc(Cl)c1)=CC2CC(=O)N1CC2(COC2)C1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)n(C)n(C)c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
[C-]#[N+]CC1CCN(c2nc(C=N)c(C(N)=O)c(Nc3ccc(N4CCC(CCCO)CC4)cc3)n2)CC1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CNCC(O)COc1cccc(-c2nc(NC3CCOCC3)cc(-c3ccc(OC)c(OC)c3)n2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Cc1cc(Nc2nc(N[C@H]3C[C@@H]4CC[C@H](C3)N4C(=O)CN(C)C)c3cccnc3c2F)[nH]n1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CNCC(O)COc1cccc(-c2nc(NC3CN(CC(F)F)C3)c(C)c(-c3c(C)noc3C)n2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Cc1c(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)ccc(=O)n1C,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
COc1cc(CNC(=O)c2cc(Cn3ccn(C)c3=N)cc(-c3ccc(F)cc3OC(F)F)c2)cc(OC)c1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1cnc2cc(-c3cnc(N4CCC(N)CC4)nc3-c3ccc(C#N)c(F)c3)cnc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
COc1ccc(C2c3c(-c4cccs4)n[nH]c3OC(=N)C2C#N)cc1Cl,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@@H](Oc1cc(-c2cscn2)cc2nn(C)cc12)[C@H]1CNC(=O)C1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1C(CCC(O)=NO)=CCCN1CCc1ccc(-c2ccccc2)cc1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2[nH]c(Cc3ccc(O)c(OC)c3)nc(=O)c12,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
CNS(=O)(=O)C[C@H]1CC[C@H](N(C)c2ncnn3cccc23)CC1,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2N)cn1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
CNCC(O)COc1cccc(-c2nc(N[C@@H]3CCOC3)c(C)c(N3CCOCC3)n2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
CN(C)c1ccc(-c2cc(=O)n(C)cc2-c2cnn(-c3cccc(Cl)c3C#N)c2)cn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
